ACT ID,Title TH,Title EN,Agoda ID
227,รถเข็นคนพิการไม่สามารถเข้าถึงได้,No wheelchair-accessible,
228,แหล่งจ่ายไฟ 220V,220V power supply,
229,นาฬิกาปลุก,Alarm clock,145
230,เครื่องปรับอากาศ,Air conditioning,25
230,เครื่องปรับอากาศ,Air conditioning,370
231,เครื่องฟอกอากาศ,Air purifier,205
232,เพลงประกอบ,Background music,
233,ระเบียง,Balcony,43
234,เสื้อคลุมอาบน้ำ,Bathrobes,26
235,ห้องอาบน้ำ,Bathroom,
236,โทรศัพท์ในห้องน้ำ,Bathroom phone,206
237,อ่างอาบน้ำ,Bathtub,37
238,อุปกรณ์ทำบาร์บีคิว,BBQ Facilities,122
239,มีจักรยาน,Bikes available,
240,บิลเลียด,Billiards,134
241,ม่านทึบแสง,Blackout curtains,150
242,ลำโพงบลูทูธ,Bluetooth speaker,
243,เคเบิ้ลทีวี,Cable TV,377
243,เคเบิ้ลทีวี,Cable TV,44
244,เครื่องตรวจจับก๊าซคาร์บอนมอนออกไซด์,Carbon monoxide detector,278
244,เครื่องตรวจจับก๊าซคาร์บอนมอนออกไซด์,Carbon monoxide detector,395
245,พรม,Carpeting,207
246,เครื่องเล่นซีดี,CD player,46
247,ระบบทำความร้อนส่วนกลาง,Central heating,
248,เครื่องปรับอากาศที่ควบคุมจากส่วนกลาง,Centrally regulated air conditioning,
249,สนามเด็กเล่น,Children playground,133
250,เก้าอี้สูงสำหรับเด็ก,Children's high chair,208
251,เตียงเด็กใช้ร่วมกับผู้ปกครอง,Children share the bed with parents,
252,ผลิตภัณฑ์ทำความสะอาด,Cleaning products,
253,ตู้,Closet,232
253,ตู้,Closet,392
254,ตู้อบผ้า,Clothes dryer,149
255,ราวแขวนเสื้อผ้า,Clothes rack,210
256,เตา,Cooker,
257,เปล (ตามความต้องการ),Cot on demand,
258,ลูกดอก,Darts,
259,เคาน์เตอร์,Desk,371
259,เคาน์เตอร์,Desk,29
260,พื้นที่รับประทานอาหาร,Dining area,
